"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","Condition.Norm","Condition.Feedr","Condition.PosN","Condition.Artery","Condition.RRAe","Condition.RRNn","Condition.RRAn","Condition.PosA","Condition.RRNe","LotSide","BsmtUnfPercent","LowQualFinPresence"
1,60,"RL",65,8450,"Pave","None","Reg","Lvl","Inside","Gtl","CollgCr","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","BrkFace","196",3,2,"PConc",3,2,0,"GLQ",706,"Unf",0,150,"GasA","Ex","Y","3",856,854,0,1,0,2,1,3,1,3,8,0,0,-1,"Attchd",2003,2,548,2,2,2,0,61,0,0,0,0,-1,"None",0,2,2008,"WD","Normal",208500,2,0,0,0,0,0,0,0,0,91.9238815542512,0.175233644859813,FALSE
2,20,"RL",80,9600,"Pave","None","Reg","Lvl","FR2","Gtl","Veenker","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","None","0",2,2,"CBlock",3,2,3,"ALQ",978,"Unf",0,284,"GasA","Ex","Y","3",1262,0,0,0,1,2,0,3,1,2,6,0,1,2,"Attchd",1976,2,460,2,2,2,298,0,0,0,0,0,-1,"None",0,5,2007,"WD","Normal",181500,1,1,0,0,0,0,0,0,0,97.9795897113271,0.225039619651347,FALSE
3,60,"RL",68,11250,"Pave","None","IR1","Lvl","Inside","Gtl","CollgCr","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","BrkFace","162",3,2,"PConc",3,2,1,"GLQ",486,"Unf",0,434,"GasA","Ex","Y","3",920,866,0,1,0,2,1,3,1,3,6,0,1,2,"Attchd",2001,2,608,2,2,2,0,42,0,0,0,0,-1,"None",0,9,2008,"WD","Normal",223500,2,0,0,0,0,0,0,0,0,106.066017177982,0.471739130434783,FALSE
4,70,"RL",60,9550,"Pave","None","IR1","Lvl","Corner","Gtl","Crawfor","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","None","0",2,2,"BrkTil",2,3,0,"ALQ",216,"Unf",0,540,"GasA","Gd","Y","3",961,756,0,1,0,1,0,3,1,3,7,0,1,3,"Detchd",1998,3,642,2,2,2,0,35,272,0,0,0,-1,"None",0,2,2006,"WD","Abnorml",140000,2,0,0,0,0,0,0,0,0,97.7241014284603,0.714285714285714,FALSE
5,60,"RL",84,14260,"Pave","None","IR1","Lvl","FR2","Gtl","NoRidge","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","BrkFace","350",3,2,"PConc",3,2,2,"GLQ",655,"Unf",0,490,"GasA","Ex","Y","3",1145,1053,0,1,0,2,1,4,1,3,9,0,1,2,"Attchd",2000,3,836,2,2,2,192,84,0,0,0,0,-1,"None",0,12,2008,"WD","Normal",250000,2,0,0,0,0,0,0,0,0,119.415241908225,0.427947598253275,FALSE
6,50,"RL",85,14115,"Pave","None","IR1","Lvl","Inside","Gtl","Mitchel","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","None","0",2,2,"Wood",3,2,0,"GLQ",732,"Unf",0,64,"GasA","Ex","Y","3",796,566,0,1,0,1,1,1,1,2,5,0,0,-1,"Attchd",1993,2,480,2,2,2,40,30,0,320,0,0,-1,"MnPrv",700,10,2009,"WD","Normal",143000,2,0,0,0,0,0,0,0,0,118.806565475145,0.0804020100502513,FALSE
7,20,"RL",75,10084,"Pave","None","Reg","Lvl","Inside","Gtl","Somerst","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","Stone","186",3,2,"PConc",4,2,2,"GLQ",1369,"Unf",0,317,"GasA","Ex","Y","3",1694,0,0,1,0,2,0,3,1,3,7,0,1,3,"Attchd",2004,2,636,2,2,2,255,57,0,0,0,0,-1,"None",0,8,2007,"WD","Normal",307000,2,0,0,0,0,0,0,0,0,100.419121685066,0.188018979833926,FALSE
8,60,"RL",87.7334438078955,10382,"Pave","None","IR1","Lvl","Corner","Gtl","NWAmes","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","Stone","240",2,2,"CBlock",3,2,1,"ALQ",859,"BLQ",32,216,"GasA","Ex","Y","3",1107,983,0,1,0,2,1,3,1,2,7,0,2,2,"Attchd",1973,2,484,2,2,2,235,204,228,0,0,0,-1,"None",350,11,2009,"WD","Normal",200000,1,0,1,0,0,0,0,0,0,101.892099791888,0.195121951219512,FALSE
9,50,"RM",51,6120,"Pave","None","Reg","Lvl","Inside","Gtl","OldTown","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","None","0",2,2,"BrkTil",2,2,0,"Unf",0,"Unf",0,952,"GasA","Gd","Y","1",1022,752,0,0,0,2,0,2,2,2,8,1,2,2,"Detchd",1931,2,468,1,2,2,90,0,205,0,0,0,-1,"None",0,4,2008,"WD","Abnorml",129900,1,0,0,1,0,0,0,0,0,78.2304288624318,1,FALSE
10,190,"RL",50,7420,"Pave","None","Reg","Lvl","Corner","Gtl","BrkSide","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","None","0",2,2,"BrkTil",2,2,0,"GLQ",851,"Unf",0,140,"GasA","Ex","Y","3",1077,0,0,1,0,1,0,2,2,2,5,0,2,2,"Attchd",1939,1,205,3,2,2,0,4,0,0,0,0,-1,"None",0,1,2008,"WD","Normal",118000,0,0,0,2,0,0,0,0,0,86.1394218694321,0.141271442986882,FALSE
11,20,"RL",70,11200,"Pave","None","Reg","Lvl","Inside","Gtl","Sawyer","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","None","0",2,2,"CBlock",2,2,0,"Rec",906,"Unf",0,134,"GasA","Ex","Y","3",1040,0,0,1,0,1,0,3,1,2,5,0,0,-1,"Detchd",1965,1,384,2,2,2,0,0,0,0,0,0,-1,"None",0,2,2008,"WD","Normal",129500,2,0,0,0,0,0,0,0,0,105.830052442584,0.128846153846154,FALSE
12,60,"RL",85,11924,"Pave","None","IR1","Lvl","Inside","Gtl","NridgHt","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Stone","286",4,2,"PConc",4,2,0,"GLQ",998,"Unf",0,177,"GasA","Ex","Y","3",1182,1142,0,1,0,3,0,4,1,4,11,0,2,3,"BuiltIn",2005,3,736,2,2,2,147,21,0,0,0,0,-1,"None",0,7,2006,"New","Partial",345000,2,0,0,0,0,0,0,0,0,109.19706955775,0.15063829787234,FALSE
13,20,"RL",79.7218089900152,12968,"Pave","None","IR2","Lvl","Inside","Gtl","Sawyer","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","None","0",2,2,"CBlock",2,2,0,"ALQ",737,"Unf",0,175,"GasA","TA","Y","3",912,0,0,1,0,1,0,2,1,2,4,0,0,-1,"Detchd",1962,1,352,2,2,2,140,0,0,0,176,0,-1,"None",0,9,2008,"WD","Normal",144000,2,0,0,0,0,0,0,0,0,113.877126763894,0.191885964912281,FALSE
14,20,"RL",91,10652,"Pave","None","IR1","Lvl","Inside","Gtl","CollgCr","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","Stone","306",3,2,"PConc",3,2,2,"Unf",0,"Unf",0,1494,"GasA","Ex","Y","3",1494,0,0,0,0,2,0,3,1,3,7,0,1,3,"Attchd",2006,3,840,2,2,2,160,33,0,0,0,0,-1,"None",0,8,2007,"New","Partial",279500,2,0,0,0,0,0,0,0,0,103.208526779525,1,FALSE
15,20,"RL",89.5684238531397,10920,"Pave","None","IR1","Lvl","Corner","Gtl","NAmes","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","BrkFace","212",2,2,"CBlock",2,2,0,"BLQ",733,"Unf",0,520,"GasA","TA","Y","3",1253,0,0,1,0,1,1,2,1,2,5,0,1,1,"Attchd",1960,1,352,2,2,2,0,213,176,0,0,0,-1,"GdWo",0,5,2008,"WD","Normal",157000,2,0,0,0,0,0,0,0,0,104.498803820905,0.415003990422985,FALSE
16,45,"RM",51,6120,"Pave","None","Reg","Lvl","Corner","Gtl","BrkSide","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","None","0",2,2,"BrkTil",2,2,0,"Unf",0,"Unf",0,832,"GasA","Ex","Y","2",854,0,0,0,0,1,0,2,1,2,5,0,0,-1,"Detchd",1991,2,576,2,2,2,48,112,0,0,0,0,-1,"GdPrv",0,7,2007,"WD","Normal",132000,2,0,0,0,0,0,0,0,0,78.2304288624318,1,FALSE
17,20,"RL",52.7388788600049,11241,"Pave","None","IR1","Lvl","CulDSac","Gtl","NAmes","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","BrkFace","180",2,2,"CBlock",2,2,0,"ALQ",578,"Unf",0,426,"GasA","Ex","Y","3",1004,0,0,1,0,1,0,2,1,2,5,0,1,2,"Attchd",1970,2,480,2,2,2,0,0,0,0,0,0,-1,"None",700,3,2010,"WD","Normal",149000,2,0,0,0,0,0,0,0,0,106.023582282434,0.424302788844622,FALSE
18,90,"RL",72,10791,"Pave","None","Reg","Lvl","Inside","Gtl","Sawyer","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","None","0",2,2,"Slab",-1,-1,-1,"None",0,"None",0,0,"GasA","TA","Y","3",1296,0,0,0,0,2,0,2,2,2,6,0,0,-1,"CarPort",1967,2,516,2,2,2,0,0,0,0,0,0,-1,"None",500,10,2006,"WD","Normal",90000,2,0,0,0,0,0,0,0,0,103.879738159085,0,FALSE
19,20,"RL",66,13695,"Pave","None","Reg","Lvl","Inside","Gtl","SawyerW","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","None","0",2,2,"PConc",2,2,0,"GLQ",646,"Unf",0,468,"GasA","Ex","Y","3",1114,0,0,1,0,1,1,3,1,3,6,0,0,-1,"Detchd",2004,2,576,2,2,2,0,102,0,0,0,0,-1,"None",0,6,2008,"WD","Normal",159000,1,0,0,0,1,0,0,0,0,117.025638216589,0.420107719928187,FALSE
20,20,"RL",70,7560,"Pave","None","Reg","Lvl","Inside","Gtl","NAmes","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","None","0",2,2,"CBlock",2,2,0,"LwQ",504,"Unf",0,525,"GasA","TA","Y","3",1339,0,0,0,0,1,0,3,1,2,6,1,0,-1,"Attchd",1958,1,294,2,2,2,0,0,0,0,0,0,-1,"MnPrv",0,5,2009,"COD","Abnorml",139000,2,0,0,0,0,0,0,0,0,86.9482604771366,0.510204081632653,FALSE
